ArchStatus	ArchTime	Availability	BgColorRGB	BloodFlag	BuyPrice	CanBeMixed	ControlledInOrder	ControlledInRecord	DefaultRoute	DoseFormRatio	DoseUnitID	ExtCode	Form	FormUnitID	GenericName	InFluidFormRatio	Infusable	PerNUnits	PharmaID	PharmaName	PharmaStatus	SellPrice	Type	VolumeFormRatio	VolumeUnitID
2	1990-01-01 00:00:00	1	0	8	0.0	0	0	0	7	0.25	12	(null)	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
2	2005-02-04 13:45:45	1	0	8	0.0	0	0	0	7	0.25	12	(null)	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
1	2005-02-26 02:12:29	1	0	8	0.0	0	0	0	1000211	0.25	12	(null)	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
1	2005-05-24 02:56:48	1	0	8	0.0	0	0	0	1000170	0.25	12	(null)	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
1	2005-06-18 02:37:52	1	0	8	0.0	0	0	0	1000170	0.25	12	(null)	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
2	2005-09-21 02:41:59	1	0	8	0.0	0	0	0	1	0.25	12	T76CV;T76AD;	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
2	2005-10-12 02:44:35	1	0	8	0.0	0	0	0	1000022	0.25	12	T76CV;T76AD;	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
2	2005-12-09 02:23:53	1	0	8	0.0	0	0	0	1	0.25	12	T76CV;T76AD;T76BIV;	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
2	2005-12-11 02:27:55	1	0	8	0.0	0	0	0	1	0.25	12	T76AD;T76BIV;T76IV;	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
2	2005-12-31 02:26:24	1	0	8	0.0	0	0	0	7	0.25	12	T76AD;T76BIV;T76IV;	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
2	2006-01-06 02:26:30	1	0	8	0.0	0	0	0	7	0.25	12	T76AD;T76BIV;T76IV;	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
2	2006-01-07 02:23:11	1	0	8	0.0	0	0	0	1	0.25	12	T76AD;T76BIV;T76IV;	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
2	2006-05-02 02:39:02	1	0	8	0.0	0	0	0	1000702	0.25	12	T76AD;T76BIV;T76IV;	1	19	Digoxin	1.0	0	1.0	1	Digoxin inj 0.25 mg/ml	1	0.0	1	1.0	19
